scenario_id,split,claim_family,replicate,seed,generator,critical_stratum,truth_supported,strong_effect,effective_n,family_count,family_correlation,family_imbalance,multiplicity,measurement_noise,policy_id,licensed,license_status,coverage,decision_regret,point_estimate,method
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000020,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,20,7513020,skewed,LOW_EFFECTIVE_N,False,True,30,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.006137621225340766,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000021,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,21,7513021,skewed,LOW_EFFECTIVE_N,True,True,30,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.036336373821802326,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000022,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,22,7513022,skewed,HIGH_FAMILY_CORRELATION,False,True,60,4,0.9,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.0009344944066352155,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000023,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,23,7513023,skewed,HIGH_FAMILY_CORRELATION,True,True,60,4,0.9,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.05060439422216285,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000024,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,24,7513024,skewed,LOW_FAMILY_COUNT,False,True,60,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.010410036860662447,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000025,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,25,7513025,skewed,LOW_FAMILY_COUNT,True,True,60,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.06223683207398053,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000026,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,26,7513026,skewed,HIGH_FAMILY_IMBALANCE,False,True,60,4,0.0,8.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.003986749619322622,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000027,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,27,7513027,skewed,HIGH_FAMILY_IMBALANCE,True,True,60,4,0.0,8.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.04014060680419206,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000028,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,28,7513028,skewed,HIGH_MULTIPLICITY,False,True,60,4,0.0,1.0,500,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.0027376402355325075,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000029,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,29,7513029,skewed,HIGH_MULTIPLICITY,True,True,60,4,0.0,1.0,500,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.04039886990020803,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000030,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,30,7513030,skewed,HIGH_MEASUREMENT_NOISE,False,True,60,4,0.0,1.0,1,1.8,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.0012371080505385822,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000031,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,31,7513031,skewed,HIGH_MEASUREMENT_NOISE,True,True,60,4,0.0,1.0,1,1.8,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.05867945652113938,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000032,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,32,7513032,skewed,NEAR_MATERIALITY_BOUNDARY,False,True,60,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.00022855885942588608,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000033,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,33,7513033,skewed,NEAR_MATERIALITY_BOUNDARY,True,True,60,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.03874934587928156,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000034,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,34,7513034,skewed,NEAR_TIE_TOP_K,False,True,60,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.005578443198444047,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000035,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,35,7513035,skewed,NEAR_TIE_TOP_K,True,True,60,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.061006836785437085,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000036,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,36,7513036,skewed,TRANSPORT_REVERSAL_RISK,False,True,60,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.0037633303802354938,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000037,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,37,7513037,skewed,TRANSPORT_REVERSAL_RISK,True,True,60,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.05069992785264117,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000038,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,38,7513038,skewed,DISCOVERY_VALIDATION_SHIFT,False,True,60,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.005728000093531475,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000039,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,39,7513039,skewed,DISCOVERY_VALIDATION_SHIFT,True,True,60,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.041643636582893474,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000040,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,40,7513040,contaminated_gaussian,LOW_EFFECTIVE_N,False,False,30,5,0.0,1.0,1,0.6,NATIVE_BALANCED,False,BLOCKED_BY_MULTIPLICITY,True,0.0,0.0037299359429728523,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000041,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,41,7513041,contaminated_gaussian,LOW_EFFECTIVE_N,True,False,30,5,0.0,1.0,1,0.6,NATIVE_BALANCED,True,LICENSED_WITH_SCOPE,True,0.0,0.04259819087227497,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000042,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,42,7513042,contaminated_gaussian,HIGH_FAMILY_CORRELATION,False,False,100,5,0.9,1.0,1,0.6,NATIVE_BALANCED,False,BLOCKED_BY_MULTIPLICITY,True,0.0,0.0038754677367028732,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000043,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,43,7513043,contaminated_gaussian,HIGH_FAMILY_CORRELATION,True,False,100,5,0.9,1.0,1,0.6,NATIVE_BALANCED,True,LICENSED_WITH_SCOPE,True,0.0,0.0356226143487063,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000044,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,44,7513044,contaminated_gaussian,LOW_FAMILY_COUNT,False,False,100,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.001201087190882705,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000045,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,45,7513045,contaminated_gaussian,LOW_FAMILY_COUNT,True,False,100,4,0.0,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.04308516427944439,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000046,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,46,7513046,contaminated_gaussian,HIGH_FAMILY_IMBALANCE,False,False,100,5,0.0,8.0,1,0.6,NATIVE_BALANCED,False,BLOCKED_BY_MULTIPLICITY,True,0.0,0.026341582463322733,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000047,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,47,7513047,contaminated_gaussian,HIGH_FAMILY_IMBALANCE,True,False,100,5,0.0,8.0,1,0.6,NATIVE_BALANCED,True,LICENSED_WITH_SCOPE,True,0.0,0.0380951953894753,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000048,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,48,7513048,contaminated_gaussian,HIGH_MULTIPLICITY,False,False,100,5,0.0,1.0,500,0.6,NATIVE_BALANCED,False,BLOCKED_BY_MULTIPLICITY,True,0.0,0.010930382337683177,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000049,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,49,7513049,contaminated_gaussian,HIGH_MULTIPLICITY,True,False,100,5,0.0,1.0,500,0.6,NATIVE_BALANCED,True,LICENSED_WITH_SCOPE,True,0.0,0.0361766148672832,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000050,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,50,7513050,contaminated_gaussian,HIGH_MEASUREMENT_NOISE,False,False,100,5,0.0,1.0,1,1.8,NATIVE_BALANCED,False,BLOCKED_BY_MULTIPLICITY,True,0.0,0.0026630783193067964,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000051,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,51,7513051,contaminated_gaussian,HIGH_MEASUREMENT_NOISE,True,False,100,5,0.0,1.0,1,1.8,NATIVE_BALANCED,True,LICENSED_WITH_SCOPE,True,0.0,0.03622550445449217,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000052,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,52,7513052,contaminated_gaussian,NEAR_MATERIALITY_BOUNDARY,False,False,100,5,0.0,1.0,1,0.6,NATIVE_BALANCED,False,BLOCKED_BY_MULTIPLICITY,True,0.0,0.0046221558485304666,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000053,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,53,7513053,contaminated_gaussian,NEAR_MATERIALITY_BOUNDARY,True,False,100,5,0.0,1.0,1,0.6,NATIVE_BALANCED,True,LICENSED_WITH_SCOPE,True,0.0,0.042863480007662165,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000054,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,54,7513054,contaminated_gaussian,NEAR_TIE_TOP_K,False,False,100,5,0.0,1.0,1,0.6,NATIVE_BALANCED,False,BLOCKED_BY_MULTIPLICITY,True,0.0,0.00656053282954698,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000055,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,55,7513055,contaminated_gaussian,NEAR_TIE_TOP_K,True,False,100,5,0.0,1.0,1,0.6,NATIVE_BALANCED,True,LICENSED_WITH_SCOPE,True,0.0,0.032860803716161964,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000056,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,56,7513056,contaminated_gaussian,TRANSPORT_REVERSAL_RISK,False,False,100,5,0.0,1.0,1,0.6,NATIVE_BALANCED,False,BLOCKED_BY_MULTIPLICITY,True,0.0,0.0020400245218634146,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000057,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,57,7513057,contaminated_gaussian,TRANSPORT_REVERSAL_RISK,True,False,100,5,0.0,1.0,1,0.6,NATIVE_BALANCED,True,LICENSED_WITH_SCOPE,True,0.0,0.03295066243977962,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000058,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,58,7513058,contaminated_gaussian,DISCOVERY_VALIDATION_SHIFT,False,False,100,5,0.0,1.0,1,0.6,NATIVE_BALANCED,False,BLOCKED_BY_MULTIPLICITY,True,0.0,0.01734634415297469,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000059,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,59,7513059,contaminated_gaussian,DISCOVERY_VALIDATION_SHIFT,True,False,100,5,0.0,1.0,1,0.6,NATIVE_BALANCED,False,BLOCKED_BY_MULTIPLICITY,True,0.0,0.030045389527628204,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000060,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,60,7513060,correlated_bernoulli,LOW_EFFECTIVE_N,False,True,30,5,0.35,1.0,1,0.6,NATIVE_BALANCED,False,BLOCKED_BY_MULTIPLICITY,True,0.0,0.015,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000061,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,61,7513061,correlated_bernoulli,LOW_EFFECTIVE_N,True,True,30,5,0.35,1.0,1,0.6,NATIVE_BALANCED,True,LICENSED_WITH_SCOPE,True,0.0,0.057999999999999996,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000062,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,62,7513062,correlated_bernoulli,HIGH_FAMILY_CORRELATION,False,True,250,5,0.9,1.0,1,0.6,NATIVE_BALANCED,False,BLOCKED_BY_MULTIPLICITY,True,0.0,0.015,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000063,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,63,7513063,correlated_bernoulli,HIGH_FAMILY_CORRELATION,True,True,250,5,0.9,1.0,1,0.6,NATIVE_BALANCED,True,LICENSED_WITH_SCOPE,True,0.0,0.043,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000064,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,64,7513064,correlated_bernoulli,LOW_FAMILY_COUNT,False,True,250,4,0.35,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.005,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000065,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,65,7513065,correlated_bernoulli,LOW_FAMILY_COUNT,True,True,250,4,0.35,1.0,1,0.6,NATIVE_BALANCED,False,UNDERPOWERED,True,0.0,0.038,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000066,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,66,7513066,correlated_bernoulli,HIGH_FAMILY_IMBALANCE,False,True,250,5,0.35,8.0,1,0.6,NATIVE_BALANCED,False,BLOCKED_BY_MULTIPLICITY,True,0.0,0.02,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000067,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,67,7513067,correlated_bernoulli,HIGH_FAMILY_IMBALANCE,True,True,250,5,0.35,8.0,1,0.6,NATIVE_BALANCED,True,LICENSED_WITH_SCOPE,True,0.0,0.057999999999999996,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000068,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,68,7513068,correlated_bernoulli,HIGH_MULTIPLICITY,False,True,250,5,0.35,1.0,500,0.6,NATIVE_BALANCED,False,BLOCKED_BY_MULTIPLICITY,True,0.0,0.0,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000069,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,69,7513069,correlated_bernoulli,HIGH_MULTIPLICITY,True,True,250,5,0.35,1.0,500,0.6,NATIVE_BALANCED,True,LICENSED_WITH_SCOPE,True,0.0,0.048,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000070,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,70,7513070,correlated_bernoulli,HIGH_MEASUREMENT_NOISE,False,True,250,5,0.35,1.0,1,1.8,NATIVE_BALANCED,False,BLOCKED_BY_MULTIPLICITY,True,0.0,0.01,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000071,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,71,7513071,correlated_bernoulli,HIGH_MEASUREMENT_NOISE,True,True,250,5,0.35,1.0,1,1.8,NATIVE_BALANCED,True,LICENSED_WITH_SCOPE,True,0.0,0.053,BH_FDR_STABILITY_EXTERNAL_VALIDATION
POLICY_CONFIRMATION-ITEM_DIAGNOSTICS-000072,POLICY_CONFIRMATION,ITEM_DIAGNOSTICS,72,7513072,correlated_bernoulli,NEAR_MATERIALITY_BOUNDARY,False,True,250,5,0.35,1.0,1,0.6,NATIVE_BALANCED,False,BLOCKED_BY_MULTIPLICITY,True,0.0,0.01,BH_FDR_STABILITY_EXTERNAL_VALIDATION
