model_id,point_rank,simultaneous_rank_lower,simultaneous_rank_upper,interval_type,confidence_level,joint_critical_rank_deviation,resampling_unit,joint_draw_count
meta/llama-3.1-8b-instruct-turbo,35.0,31.0,39.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
meta/llama-3.2-11b-vision-instruct-turbo,34.0,30.0,38.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
meta/llama-3.2-90b-vision-instruct-turbo,5.0,1.0,9.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
meta/llama-3.3-70b-instruct-turbo,8.0,4.0,12.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
microsoft/phi-2,32.0,28.0,36.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
microsoft/phi-3-medium-4k-instruct,12.0,8.0,16.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
microsoft/phi-3-small-8k-instruct,15.0,11.0,19.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
mistralai/mistral-7b-instruct-v0.3,31.0,27.0,35.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
mistralai/mistral-7b-v0.1,33.0,29.0,37.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
mistralai/mixtral-8x22b,10.0,6.0,14.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
mistralai/mixtral-8x7b-32kseqlen,22.0,18.0,26.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
mistralai/open-mistral-nemo-2407,28.0,24.0,32.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
qwen/qwen1.5-110b-chat,13.0,9.0,17.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
qwen/qwen1.5-14b,24.0,20.0,28.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
qwen/qwen1.5-32b,17.0,13.0,21.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
qwen/qwen1.5-72b,11.0,7.0,15.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
qwen/qwen1.5-7b,30.0,26.0,34.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
qwen/qwen2-72b-instruct,4.0,1.0,8.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
qwen/qwen2.5-72b-instruct-turbo,3.0,1.0,7.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
qwen/qwen2.5-7b-instruct-turbo,20.0,16.0,24.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
snowflake/snowflake-arctic-instruct,25.0,21.0,29.0,BOOTSTRAP_MAX_DEVIATION_SIMULTANEOUS,0.95,4.0,nested_subject_item_trimmed_subject_weight,500
